,URL,title,BERT,predicted_class,h0,h1,h2,h3,score,classe
92,https://www.wsj.com/news/markets/oil-gold-commodities-futures?mod=nav_top_subsection,Commodities & Futures,0.298863865,0,0,1,1,0,1.849431933,0
93,https://www.wsj.com/news/markets/stocks?mod=nav_top_subsection,Stocks,0.259892926,0,0,1,1,0,1.829946463,0
94,https://www.wsj.com/news/types/personal-finance?mod=nav_top_subsection,Personal Finance,0.364604772,0,0,1,1,0,1.882302386,0
95,https://www.wsj.com/questions/money?mod=nav_top_subsection,WSJ Money,0.831642213,0,0,1,1,0,2.115821106,0
96,https://www.wsj.com/news/types/streetwise?mod=nav_top_subsection,Streetwise,0.503743645,0,0,1,1,0,1.951871822,0
97,https://www.wsj.com/news/types/the-intelligent-investor?mod=nav_top_subsection,Intelligent Investor,0.857340042,0,0,1,1,0,2.128670021,0
98,https://www.wsj.com/news/author/greg-ip?mod=nav_top_subsection,Greg Ip,0.069402506,0,0,1,1,0,1.734701253,0
99,https://www.wsj.com/news/author/jason-zweig?mod=nav_top_subsection,Jason Zweig,0.000750955,0,0,1,1,0,1.700375478,0
100,https://www.wsj.com/news/author/laura-saunders?mod=nav_top_subsection,Laura Saunders,0.134418773,0,0,1,1,0,1.767209386,0
101,https://www.wsj.com/news/author/james-mackintosh?page=23?mod=nav_top_subsection,James Mackintosh,0.923517289,0,0,1,1,0,2.161758645,0
102,https://www.wsj.com/market-data?mod=nav_top_subsection,Market Data Home,0.613429173,0,0,1,1,0,2.006714587,0
103,https://www.wsj.com/market-data/stocks?mod=nav_top_subsection,U.S. Stocks,0.888118635,0,0,1,1,0,2.144059318,0
104,https://www.wsj.com/market-data/currencies?mod=nav_top_subsection,Currencies,0.407273529,0,0,1,1,0,1.903636764,0
105,https://www.wsj.com/market-data/quotes/company-list/?mod=nav_top_subsection,Companies,0.184521852,0,0,1,1,0,1.792260926,0
106,https://www.wsj.com/market-data/commodities?mod=nav_top_subsection,Commodities,0.807556574,0,0,1,1,0,2.103778287,0
107,https://www.wsj.com/market-data/bonds?mod=nav_top_subsection,Bonds & Rates,0.124495258,0,0,1,1,0,1.762247629,0
108,https://www.wsj.com/market-data/mutualfunds-etfs?mod=nav_top_subsection,Mutual Funds & ETFs,0.232182443,0,1,1,1,0,2.516091221,0
109,https://www.wsj.com/video/browse/business/markets?mod=nav_top_subsection,Markets Video,0.102421556,0,0,1,1,0,1.751210778,0
110,https://www.wsj.com/podcasts/latest/wsj-your-money-matters?mod=nav_top_subsection,Your Money Briefing Podcast,0.718426711,0,1,1,1,0,2.759213356,0
111,https://www.wsj.com/podcasts/latest/wsj-secrets-of-wealthy-women?mod=nav_top_subsection,Secrets of Wealthy Women Podcast,0.026465921,1,1,1,1,0,2.913232961,0
112,https://www.wsj.com/podcasts/latest/wsj-secrets-of-wealthy-women?mod=nav_top_subsection,Secrets of Wealthy Women Podcast,0.026465921,1,1,1,1,0,2.913232961,0
113,https://www.wsj.com/podcasts/latest/wsj-secrets-of-wealthy-women?mod=nav_top_subsection,Secrets of Wealthy Women Podcast,0.026465921,1,1,1,1,0,2.913232961,0
114,https://www.wsj.com/podcasts/latest/wsj-secrets-of-wealthy-women?mod=nav_top_subsection,Secrets of Wealthy Women Podcast,0.026465921,1,1,1,1,0,2.913232961,0
115,https://www.wsj.com/news/opinion?mod=nav_top_section,Opinion,0.829745968,0,0,1,1,0,2.114872984,0
116,https://www.wsj.com/news/author/gerard-baker?mod=nav_top_subsection,Gerard Baker,0.992797342,0,0,1,1,0,2.196398671,0
